"Year","District","FIPS","Variable","Value","Measure Type"
"2012-2013","Regional School District 01","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 01","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 01","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 01","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 01","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 01","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Regional School District 01","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Regional School District 04","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Regional School District 04","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Regional School District 04","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 04","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 04","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 04","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 04","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 04","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 05","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 05","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 05","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 05","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 05","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 05","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 05","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 05","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 06","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 06","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 06","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 06","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 06","","Number of students with at least 1 bullying incident","6","Number"
"2014-2015","Regional School District 06","","Counts of Bullying Incidents","6","Number"
"2015-2016","Regional School District 06","","Number of students with at least 1 bullying incident","18","Number"
"2015-2016","Regional School District 06","","Counts of Bullying Incidents","22","Number"
"2012-2013","Regional School District 07","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 07","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 07","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 07","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 07","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 07","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 07","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Regional School District 07","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Regional School District 08","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 08","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 08","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 08","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 08","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 08","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 08","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Regional School District 08","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Regional School District 09","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 09","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 09","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 09","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 09","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 09","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 09","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 09","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 10","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 10","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 10","","Number of students with at least 1 bullying incident","6","Number"
"2013-2014","Regional School District 10","","Counts of Bullying Incidents","6","Number"
"2014-2015","Regional School District 10","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 10","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 10","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 10","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 11","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 11","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 11","","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","Regional School District 11","","Counts of Bullying Incidents","9","Number"
"2014-2015","Regional School District 11","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 11","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 11","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 11","","Counts of Bullying Incidents","6","Number"
"2012-2013","Regional School District 12","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Regional School District 12","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Regional School District 12","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Regional School District 12","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Regional School District 12","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 12","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 12","","Number of students with at least 1 bullying incident","6","Number"
"2015-2016","Regional School District 12","","Counts of Bullying Incidents","6","Number"
"2012-2013","Regional School District 13","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 13","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 13","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 13","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 13","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 13","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 13","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 13","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 14","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Regional School District 14","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Regional School District 14","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 14","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 14","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 14","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 14","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 14","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 15","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Regional School District 15","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Regional School District 15","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 15","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 15","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 15","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 15","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 15","","Counts of Bullying Incidents","6","Number"
"2012-2013","Regional School District 16","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 16","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 16","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 16","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 16","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 16","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 16","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 16","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 17","","Number of students with at least 1 bullying incident","13","Number"
"2012-2013","Regional School District 17","","Counts of Bullying Incidents","17","Number"
"2013-2014","Regional School District 17","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 17","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 17","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Regional School District 17","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Regional School District 17","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Regional School District 17","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Regional School District 18","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 18","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 18","","Number of students with at least 1 bullying incident","10","Number"
"2013-2014","Regional School District 18","","Counts of Bullying Incidents","14","Number"
"2014-2015","Regional School District 18","","Number of students with at least 1 bullying incident","8","Number"
"2014-2015","Regional School District 18","","Counts of Bullying Incidents","9","Number"
"2015-2016","Regional School District 18","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 18","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Regional School District 19","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Regional School District 19","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Regional School District 19","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Regional School District 19","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Regional School District 19","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Regional School District 19","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Regional School District 19","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Regional School District 19","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Ridgefield School District","900163970","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Ridgefield School District","900163970","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Ridgefield School District","900163970","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Ridgefield School District","900163970","Counts of Bullying Incidents","6","Number"
"2014-2015","Ridgefield School District","900163970","Number of students with at least 1 bullying incident","7","Number"
"2014-2015","Ridgefield School District","900163970","Counts of Bullying Incidents","7","Number"
"2015-2016","Ridgefield School District","900163970","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Ridgefield School District","900163970","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Rocky Hill School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Rocky Hill School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Rocky Hill School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Rocky Hill School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Rocky Hill School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Rocky Hill School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Rocky Hill School District","900365370","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Rocky Hill School District","900365370","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Salem School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Salem School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Salem School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Salem School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Salem School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Salem School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Salem School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Salem School District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Salisbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Salisbury School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Salisbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Salisbury School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Salisbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Salisbury School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Salisbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Salisbury School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Scotland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Scotland School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Scotland School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Scotland School District","","Counts of Bullying Incidents","9","Number"
"2014-2015","Scotland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Scotland School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Scotland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Scotland School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Seymour School District","900967610","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Seymour School District","900967610","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Seymour School District","900967610","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Seymour School District","900967610","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Seymour School District","900967610","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Seymour School District","900967610","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Seymour School District","900967610","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Seymour School District","900967610","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Sharon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Sharon School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Sharon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Sharon School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Sharon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Sharon School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Sharon School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Sharon School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Shelton School District","900168170","Number of students with at least 1 bullying incident","10","Number"
"2012-2013","Shelton School District","900168170","Counts of Bullying Incidents","13","Number"
"2013-2014","Shelton School District","900168170","Number of students with at least 1 bullying incident","23","Number"
"2013-2014","Shelton School District","900168170","Counts of Bullying Incidents","26","Number"
"2014-2015","Shelton School District","900168170","Number of students with at least 1 bullying incident","21","Number"
"2014-2015","Shelton School District","900168170","Counts of Bullying Incidents","41","Number"
"2015-2016","Shelton School District","900168170","Number of students with at least 1 bullying incident","28","Number"
"2015-2016","Shelton School District","900168170","Counts of Bullying Incidents","28","Number"
"2012-2013","Sherman School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Sherman School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Sherman School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Sherman School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Sherman School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Sherman School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Sherman School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Sherman School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Side By Side Charter School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Side By Side Charter School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Side By Side Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Side By Side Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Side By Side Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Side By Side Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Side By Side Charter School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Side By Side Charter School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Simsbury School District","900368940","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Simsbury School District","900368940","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Simsbury School District","900368940","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Simsbury School District","900368940","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Simsbury School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Simsbury School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Simsbury School District","900368940","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Simsbury School District","900368940","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Somers School District","901369220","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Somers School District","901369220","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Somers School District","901369220","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Somers School District","901369220","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Somers School District","901369220","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Somers School District","901369220","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Somers School District","901369220","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Somers School District","901369220","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Southington School District","900370550","Number of students with at least 1 bullying incident","7","Number"
"2012-2013","Southington School District","900370550","Counts of Bullying Incidents","9","Number"
"2013-2014","Southington School District","900370550","Number of students with at least 1 bullying incident","19","Number"
"2013-2014","Southington School District","900370550","Counts of Bullying Incidents","20","Number"
"2014-2015","Southington School District","900370550","Number of students with at least 1 bullying incident","32","Number"
"2014-2015","Southington School District","900370550","Counts of Bullying Incidents","36","Number"
"2015-2016","Southington School District","900370550","Number of students with at least 1 bullying incident","13","Number"
"2015-2016","Southington School District","900370550","Counts of Bullying Incidents","13","Number"
"2012-2013","South Windsor School District","900371390","Number of students with at least 1 bullying incident","11","Number"
"2012-2013","South Windsor School District","900371390","Counts of Bullying Incidents","12","Number"
"2013-2014","South Windsor School District","900371390","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","South Windsor School District","900371390","Counts of Bullying Incidents","-9999","Number"
"2014-2015","South Windsor School District","900371390","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","South Windsor School District","900371390","Counts of Bullying Incidents","-9999","Number"
"2015-2016","South Windsor School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","South Windsor School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Sprague School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Sprague School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Sprague School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Sprague School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Sprague School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Sprague School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Sprague School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Sprague School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Stafford School District","901372090","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Stafford School District","901372090","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Stafford School District","901372090","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Stafford School District","901372090","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Stafford School District","901372090","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Stafford School District","901372090","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Stafford School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Stafford School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Stamford Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Stamford Academy District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Stamford Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Stamford Academy District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Stamford Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Stamford Academy District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Stamford Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Stamford Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Stamford Charter School for Excellence District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Stamford Charter School for Excellence District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Stamford Charter School for Excellence District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Stamford Charter School for Excellence District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Stamford Charter School for Excellence District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Stamford Charter School for Excellence District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Stamford Charter School for Excellence District","","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Stamford Charter School for Excellence District","","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Stamford School District","900173070","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Stamford School District","900173070","Counts of Bullying Incidents","13","Number"
"2013-2014","Stamford School District","900173070","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","Stamford School District","900173070","Counts of Bullying Incidents","9","Number"
"2014-2015","Stamford School District","900173070","Number of students with at least 1 bullying incident","9","Number"
"2014-2015","Stamford School District","900173070","Counts of Bullying Incidents","12","Number"
"2015-2016","Stamford School District","900173070","Number of students with at least 1 bullying incident","14","Number"
"2015-2016","Stamford School District","900173070","Counts of Bullying Incidents","14","Number"
"2012-2013","Sterling School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Sterling School District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Sterling School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Sterling School District","","Counts of Bullying Incidents","-9999","Number"
"2014-2015","Sterling School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Sterling School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Sterling School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Sterling School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Stonington School District","901173770","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Stonington School District","901173770","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Stonington School District","901173770","Number of students with at least 1 bullying incident","-9999","Number"
"2013-2014","Stonington School District","901173770","Counts of Bullying Incidents","6","Number"
"2014-2015","Stonington School District","901173770","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Stonington School District","901173770","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Stonington School District","901173770","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Stonington School District","901173770","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Stratford School District","900174190","Number of students with at least 1 bullying incident","21","Number"
"2012-2013","Stratford School District","900174190","Counts of Bullying Incidents","24","Number"
"2013-2014","Stratford School District","900174190","Number of students with at least 1 bullying incident","16","Number"
"2013-2014","Stratford School District","900174190","Counts of Bullying Incidents","21","Number"
"2014-2015","Stratford School District","900174190","Number of students with at least 1 bullying incident","13","Number"
"2014-2015","Stratford School District","900174190","Counts of Bullying Incidents","13","Number"
"2015-2016","Stratford School District","900174190","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Stratford School District","900174190","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Suffield School District","900374540","Number of students with at least 1 bullying incident","6","Number"
"2012-2013","Suffield School District","900374540","Counts of Bullying Incidents","6","Number"
"2013-2014","Suffield School District","900374540","Number of students with at least 1 bullying incident","12","Number"
"2013-2014","Suffield School District","900374540","Counts of Bullying Incidents","16","Number"
"2014-2015","Suffield School District","900374540","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Suffield School District","900374540","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Suffield School District","900374540","Number of students with at least 1 bullying incident","9","Number"
"2015-2016","Suffield School District","900374540","Counts of Bullying Incidents","14","Number"
"2012-2013","The Bridge Academy District","","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","The Bridge Academy District","","Counts of Bullying Incidents","-9999","Number"
"2013-2014","The Bridge Academy District","","Number of students with at least 1 bullying incident","17","Number"
"2013-2014","The Bridge Academy District","","Counts of Bullying Incidents","34","Number"
"2014-2015","The Bridge Academy District","","Number of students with at least 1 bullying incident","8","Number"
"2014-2015","The Bridge Academy District","","Counts of Bullying Incidents","14","Number"
"2015-2016","The Bridge Academy District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","The Bridge Academy District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","The Gilbert School District","","Number of students with at least 1 bullying incident","28","Number"
"2012-2013","The Gilbert School District","","Counts of Bullying Incidents","35","Number"
"2013-2014","The Gilbert School District","","Number of students with at least 1 bullying incident","8","Number"
"2013-2014","The Gilbert School District","","Counts of Bullying Incidents","8","Number"
"2014-2015","The Gilbert School District","","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","The Gilbert School District","","Counts of Bullying Incidents","-9999","Number"
"2015-2016","The Gilbert School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","The Gilbert School District","","Counts of Bullying Incidents","-6666","Number"
"2012-2013","Thomaston School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2012-2013","Thomaston School District","","Counts of Bullying Incidents","-6666","Number"
"2013-2014","Thomaston School District","900575730","Number of students with at least 1 bullying incident","11","Number"
"2013-2014","Thomaston School District","900575730","Counts of Bullying Incidents","17","Number"
"2014-2015","Thomaston School District","900575730","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Thomaston School District","900575730","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Thomaston School District","900575730","Number of students with at least 1 bullying incident","18","Number"
"2015-2016","Thomaston School District","900575730","Counts of Bullying Incidents","21","Number"
"2012-2013","Thompson School District","901575870","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Thompson School District","901575870","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Thompson School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2013-2014","Thompson School District","","Counts of Bullying Incidents","-6666","Number"
"2014-2015","Thompson School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2014-2015","Thompson School District","","Counts of Bullying Incidents","-6666","Number"
"2015-2016","Thompson School District","901575870","Number of students with at least 1 bullying incident","-9999","Number"
"2015-2016","Thompson School District","901575870","Counts of Bullying Incidents","-9999","Number"
"2012-2013","Tolland School District","901376290","Number of students with at least 1 bullying incident","-9999","Number"
"2012-2013","Tolland School District","901376290","Counts of Bullying Incidents","-9999","Number"
"2013-2014","Tolland School District","901376290","Number of students with at least 1 bullying incident","9","Number"
"2013-2014","Tolland School District","901376290","Counts of Bullying Incidents","9","Number"
"2014-2015","Tolland School District","901376290","Number of students with at least 1 bullying incident","-9999","Number"
"2014-2015","Tolland School District","901376290","Counts of Bullying Incidents","-9999","Number"
"2015-2016","Tolland School District","","Number of students with at least 1 bullying incident","-6666","Number"
"2015-2016","Tolland School District","","Counts of Bullying Incidents","-6666","Number"
